transaction_date,description,category,amount
2025-07-28,Fuel Station,Transport,3662.43
2025-12-20,Discovery,Insurance,4190.68
2025-05-01,Clicks,Shopping,1373.51
2025-05-25,KFC,Food,4256.62
2026-05-04,Pick n Pay,Food,1466.17
2025-08-06,Discovery,Insurance,2691.86
2026-01-12,Bolt,Transport,1617.61
2025-08-14,Discovery,Insurance,2148.11
2025-10-11,Electricity,Utilities,3637.56
2026-04-19,Pick n Pay,Food,4512.29
2026-03-29,Woolworths,Food,768.48
2025-01-25,Electricity,Utilities,3374.52
2026-06-05,McDonalds,Food,4117.86
2025-01-29,KFC,Food,3105.29
2026-04-11,Takealot,Shopping,4143.13
2025-04-25,Clicks,Shopping,4148.4
2025-07-25,Uber,Transport,4915.84
2025-12-29,Electricity,Utilities,918.99
2025-04-26,Sanlam,Insurance,3509.81
2026-04-16,Clicks,Shopping,1546.71
2025-07-31,Woolworths,Food,3477.88
2026-04-14,Pharmacy,Medical,1003.91
2026-05-14,Amazon,Shopping,2733.66
2026-06-01,Old Mutual,Insurance,3237.2
2026-08-24,Bolt,Transport,4612.06
2025-07-14,Discovery,Insurance,2023.29
2025-04-28,Uber,Transport,2579.41
2025-08-02,Sanlam,Insurance,1939.86
2025-01-29,Amazon,Shopping,3482.33
2025-11-18,Amazon,Shopping,3448.92
2026-03-27,Discovery,Insurance,4229.81
2026-03-07,Old Mutual,Insurance,1474.93
2025-05-02,Water Bill,Utilities,1208.29
2026-02-11,McDonalds,Food,2193.49
2025-02-27,Water Bill,Utilities,4326.44
2025-08-05,Clicks,Shopping,4727.04
2025-03-29,Pharmacy,Medical,3159.37
2026-07-03,Doctor Visit,Medical,4659.63
2026-02-24,Electricity,Utilities,1088.82
2025-11-02,Netflix,Entertainment,2715.1
2026-05-31,Electricity,Utilities,2271.92
2026-06-27,Netflix,Entertainment,4595.78
2025-03-04,Spotify,Entertainment,1018.4
2025-07-05,Electricity,Utilities,626.25
2025-01-21,Checkers,Food,3166.88
2026-03-24,Showmax,Entertainment,3244.18
2025-07-06,Checkers,Food,2453.92
2025-12-18,Pharmacy,Medical,1606.7
2026-03-13,Discovery,Insurance,3920.51
2025-07-03,Bolt,Transport,3618.7
2025-11-15,Fuel Station,Transport,1201.25
2026-04-05,Doctor Visit,Medical,4495.93
2026-01-20,Bolt,Transport,85.16
2026-06-05,Woolworths,Food,3916.42
2025-11-30,Clicks,Shopping,1450.17
2025-03-14,Pick n Pay,Food,3888.71
2025-12-03,Doctor Visit,Medical,1524.98
2026-07-22,Electricity,Utilities,2771.54
2025-01-12,Amazon,Shopping,1925.11
2025-10-03,Pharmacy,Medical,4948.69
2026-05-21,Bolt,Transport,3311.2
2025-04-03,McDonalds,Food,751.94
2025-11-28,Old Mutual,Insurance,3759.9
2025-10-11,Old Mutual,Insurance,3245.91
2026-04-01,Showmax,Entertainment,2812.51
2025-11-09,Showmax,Entertainment,4933.54
2025-01-24,Water Bill,Utilities,3834.26
2025-06-09,Electricity,Utilities,4318.35
2026-04-04,Fuel Station,Transport,3901.49
2025-08-16,Electricity,Utilities,851.31
2025-07-05,Takealot,Shopping,3562.38
2026-06-19,Showmax,Entertainment,4703.54
2025-06-26,Netflix,Entertainment,2270.92
2025-06-01,McDonalds,Food,1353.59
2026-03-30,Bolt,Transport,2335.67
2026-02-18,Pharmacy,Medical,2859.04
2026-02-08,Uber,Transport,2062.01
2026-01-17,Netflix,Entertainment,2945.28
2025-04-09,Checkers,Food,1368.9
2025-05-13,McDonalds,Food,2595.49
2025-05-16,Fuel Station,Transport,1432.84
2026-06-14,Pharmacy,Medical,3007.75
2025-08-17,Clicks,Shopping,4357.25
2025-07-25,Uber,Transport,3142.59
2026-06-28,Pharmacy,Medical,3270.96
2026-03-09,McDonalds,Food,4768.41
2025-03-30,Clicks,Shopping,1490.72
2026-02-22,Woolworths,Food,991.22
2025-11-17,Woolworths,Food,2523.17
2025-04-26,Discovery,Insurance,4810.85
2026-04-14,Netflix,Entertainment,551.95
2025-08-15,Uber,Transport,4483.4
2026-07-11,Sanlam,Insurance,656.68
2026-06-27,McDonalds,Food,86.82
2025-10-20,Pharmacy,Medical,4152.28
2025-09-21,Fuel Station,Transport,292.92
2025-03-17,Pharmacy,Medical,2166.86
2025-03-19,Pharmacy,Medical,2189.57
2026-08-08,Fuel Station,Transport,3628.62
2025-04-30,Takealot,Shopping,2868.44
2025-06-09,Old Mutual,Insurance,4167.6
2025-04-08,Sanlam,Insurance,4540.58
2026-06-02,Old Mutual,Insurance,215.08
2026-02-18,Takealot,Shopping,2697.3
2026-06-13,Electricity,Utilities,2862.66
2025-05-05,McDonalds,Food,877.28
2025-04-14,Showmax,Entertainment,3726.59
2025-06-15,Water Bill,Utilities,4633.61
2025-07-23,Pharmacy,Medical,701.59
2025-11-24,Pharmacy,Medical,354.79
2026-01-17,Water Bill,Utilities,1045.41
2026-05-12,Bolt,Transport,3366.98
2025-02-20,Sanlam,Insurance,3795.31
2026-07-17,Pharmacy,Medical,2332.54
2025-11-30,Sanlam,Insurance,679.52
2025-05-14,Fuel Station,Transport,501.75
2025-01-30,Electricity,Utilities,1668.74
2025-07-30,Doctor Visit,Medical,4936.4
2026-03-03,Uber,Transport,940.5
2025-10-01,Spotify,Entertainment,1127.26
2026-01-10,Electricity,Utilities,4691.44
2025-08-08,Bolt,Transport,2115.54
2025-09-06,Bolt,Transport,769.79
2026-07-27,Old Mutual,Insurance,2021.94
2025-03-05,Amazon,Shopping,155.79
2025-11-26,Sanlam,Insurance,3535.58
2025-07-21,Pick n Pay,Food,2308.19
2026-04-19,McDonalds,Food,1539.58
2026-02-17,Bolt,Transport,1679.38
2025-10-09,Sanlam,Insurance,4269.39
2025-02-28,Clicks,Shopping,3780.18
2025-04-21,Pharmacy,Medical,2370.11
2025-11-11,Pick n Pay,Food,4821.25
2025-02-18,Checkers,Food,2930.13
2025-08-06,McDonalds,Food,4710.04
2026-08-04,Woolworths,Food,3264.26
2025-08-17,Pharmacy,Medical,1225.14
2026-05-12,Netflix,Entertainment,2938.18
2025-06-18,Showmax,Entertainment,948.09
2026-08-03,Showmax,Entertainment,1890.38
2025-11-09,Water Bill,Utilities,3772.98
2025-10-13,Doctor Visit,Medical,2041.85
2025-07-21,Water Bill,Utilities,3132.27
2025-04-06,Takealot,Shopping,2740.28
2025-09-02,Bolt,Transport,3335.09
2025-12-17,Pharmacy,Medical,3741.78
2026-08-07,Doctor Visit,Medical,463.74
2026-07-29,Woolworths,Food,297.65
2026-02-02,Netflix,Entertainment,3382.05
2025-03-21,Fuel Station,Transport,3634.31
2026-02-26,KFC,Food,889.29
2026-02-17,Netflix,Entertainment,1156.42
2025-01-26,Bolt,Transport,3166.55
2025-10-14,Uber,Transport,2169.88
2025-02-19,Spotify,Entertainment,1775.62
2026-03-24,Doctor Visit,Medical,4898.01
2025-07-06,Bolt,Transport,4889.77
2025-03-24,Water Bill,Utilities,377.02
2025-05-07,Old Mutual,Insurance,626.72
2026-02-10,Amazon,Shopping,2049.28
2025-03-10,KFC,Food,4901.14
2025-12-02,Electricity,Utilities,928.33
2025-03-29,Amazon,Shopping,979.88
2025-02-25,Pharmacy,Medical,1505.98
2025-10-07,Uber,Transport,2847.02
2025-08-04,Sanlam,Insurance,3465.15
2026-05-07,Doctor Visit,Medical,4605.36
2026-04-04,Doctor Visit,Medical,3325.65
2025-04-04,Electricity,Utilities,1645.17
2025-03-05,Spotify,Entertainment,1088.88
2025-04-07,Electricity,Utilities,4064.51
2025-07-26,Amazon,Shopping,703.78
2026-06-29,Pick n Pay,Food,3907.83
2026-08-08,Electricity,Utilities,1310.84
2025-04-07,Pick n Pay,Food,1828.29
2026-01-15,Electricity,Utilities,4659.15
2025-04-29,Discovery,Insurance,3719.6
2026-07-29,Sanlam,Insurance,1326.52
2026-04-12,Netflix,Entertainment,814.74
2025-06-26,Showmax,Entertainment,1046.13
2026-07-20,Doctor Visit,Medical,4420.1
2025-12-12,KFC,Food,4594.36
2025-03-24,Doctor Visit,Medical,2159.56
2026-05-29,Electricity,Utilities,1029.78
2026-08-16,Electricity,Utilities,4515.64
2025-04-24,Doctor Visit,Medical,3067.29
2026-07-25,Showmax,Entertainment,3559.55
2026-05-02,Bolt,Transport,690.55
2025-12-06,Water Bill,Utilities,818.66
2025-04-08,Netflix,Entertainment,2385.44
2026-03-06,Uber,Transport,3113.04
2026-01-14,Water Bill,Utilities,3063.66
2025-06-24,Doctor Visit,Medical,472.01
2026-02-27,Fuel Station,Transport,3913.78
2025-07-30,Pharmacy,Medical,3988.55
2025-02-05,Uber,Transport,2055.96
2025-02-25,Woolworths,Food,4103.74
2025-01-17,Electricity,Utilities,2973.13
2026-06-14,Doctor Visit,Medical,2541.68
2026-05-29,Bolt,Transport,551.25
2025-03-01,Discovery,Insurance,2796.71
2025-10-02,Discovery,Insurance,838.38
2025-01-17,Bolt,Transport,3070.39
2025-04-11,Amazon,Shopping,2675.62
2025-12-30,Pharmacy,Medical,1888.59
2026-03-17,Discovery,Insurance,1374.57
2026-05-16,Bolt,Transport,3408.62
2026-06-13,KFC,Food,2717.25
2025-03-17,Checkers,Food,2298.46
2025-04-19,Electricity,Utilities,1689.53
2025-05-29,Takealot,Shopping,1009.3
2025-09-06,Spotify,Entertainment,142.12
2025-12-26,Water Bill,Utilities,4403.16
2026-07-15,Discovery,Insurance,4016.68
2025-04-26,Spotify,Entertainment,2949.01
2025-06-22,Pharmacy,Medical,1814.75
2026-03-05,Amazon,Shopping,2661.49
2026-08-02,Pharmacy,Medical,1351.07
2026-03-28,Water Bill,Utilities,1103.87
2026-05-22,Old Mutual,Insurance,1472.68
2025-05-27,Showmax,Entertainment,1662.24
2026-04-03,Showmax,Entertainment,4187.38
2025-02-01,Showmax,Entertainment,2529.85
2025-12-29,Bolt,Transport,293.66
2025-11-28,Pharmacy,Medical,1441.94
2026-03-06,McDonalds,Food,1310.61
2026-08-13,Pick n Pay,Food,264.53
2026-02-17,Fuel Station,Transport,3197.08
2025-07-28,KFC,Food,2901.12
2026-05-01,Discovery,Insurance,464.31
2026-06-07,Spotify,Entertainment,1553.88
2026-04-16,Doctor Visit,Medical,358.6
2025-04-20,Electricity,Utilities,2635.84
2025-02-10,Electricity,Utilities,1986.99
2025-09-15,Doctor Visit,Medical,1367.38
2025-08-20,McDonalds,Food,1374.23
2025-10-18,Amazon,Shopping,935.13
2025-03-30,Pharmacy,Medical,4585.88
2026-08-20,Netflix,Entertainment,812.77
2025-03-24,Doctor Visit,Medical,662.08
2025-01-21,Woolworths,Food,3489.82
2025-11-17,Showmax,Entertainment,369.89
2025-11-08,Amazon,Shopping,2246.32
2025-05-23,KFC,Food,2661.91
2025-09-24,Takealot,Shopping,2987.34
2025-09-12,Electricity,Utilities,2308.67
2025-01-23,Pick n Pay,Food,3106.94
2025-10-10,Amazon,Shopping,3243.65
2025-08-17,Netflix,Entertainment,174.49
